id	name	coordinates	site_type	time_period_start	time_period_end	time_period_label	description	confidence	sources	wikidata_qid	source_url	retrieved_at
hadrian-s-library	Hadrian's Library	{"lat":37.975556,"lng":23.726111}					Archaeological site in Greece.	90	["Wikidata"]	Q1455447	http://www.wikidata.org/entity/Q1455447	2026-07-08T10:31:36.248Z
hadrian-s-villa	Hadrian's Villa	{"lat":41.941944,"lng":12.775278}					Archaeological site in Italy.	90	["Wikidata"]	Q272777	http://www.wikidata.org/entity/Q272777	2026-07-08T10:31:36.248Z
harlech-castle	Harlech Castle	{"lat":52.860004,"lng":-4.1091644}		1283		Founded 1283 CE	Archaeological site in United Kingdom.	90	["Wikidata"]	Q540964	http://www.wikidata.org/entity/Q540964	2026-07-08T10:31:36.248Z
hatra	Hatra	{"lat":35.588055555,"lng":42.718333333}					Archaeological site in Iraq.	90	["Wikidata"]	Q466614	http://www.wikidata.org/entity/Q466614	2026-07-08T10:31:36.248Z
head-smashed-in-buffalo-jump	Head-Smashed-In Buffalo Jump	{"lat":49.7494,"lng":-113.625}					Archaeological site in Canada.	90	["Wikidata"]	Q683110	http://www.wikidata.org/entity/Q683110	2026-07-08T10:31:36.248Z
heracleion	Heracleion	{"lat":31.304167,"lng":30.100556}					Archaeological site in Egypt.	90	["Wikidata"]	Q1607758	http://www.wikidata.org/entity/Q1607758	2026-07-08T10:31:36.248Z
heraion-of-samos	Heraion of Samos	{"lat":37.67194444,"lng":26.88555556}					Archaeological site in Greece.	90	["Wikidata"]	Q841207	http://www.wikidata.org/entity/Q841207	2026-07-08T10:31:36.248Z
herakleopolis-magna	Herakleopolis Magna	{"lat":29.085556,"lng":30.934444}					Archaeological site in Egypt.	90	["Wikidata"]	Q249480	http://www.wikidata.org/entity/Q249480	2026-07-08T10:31:36.248Z
hermopolis	Hermopolis	{"lat":27.774438888,"lng":30.801111111}					Archaeological site in Egypt.	90	["Wikidata"]	Q732908	http://www.wikidata.org/entity/Q732908	2026-07-08T10:31:36.248Z
herodium	Herodium	{"lat":31.66583,"lng":35.24139}		-14		Founded 14 BCE	Archaeological site in West Bank.	90	["Wikidata"]	Q913099	http://www.wikidata.org/entity/Q913099	2026-07-08T10:31:36.248Z
hill-of-tara	Hill of Tara	{"lat":53.5775,"lng":-6.611944444}					Archaeological site in Ireland.	90	["Wikidata"]	Q543155	http://www.wikidata.org/entity/Q543155	2026-07-08T10:31:36.248Z
hippo-regius	Hippo Regius	{"lat":36.883651,"lng":7.755129}					Archaeological site in Algeria.	90	["Wikidata"]	Q858024	http://www.wikidata.org/entity/Q858024	2026-07-08T10:31:36.248Z
house-of-the-virgin-mary	House of the Virgin Mary	{"lat":37.911527777,"lng":27.333972222}		100		Founded 100 CE	Archaeological site in Turkey.	90	["Wikidata"]	Q135779	http://www.wikidata.org/entity/Q135779	2026-07-08T10:31:36.248Z
hovgarden	Hovgården	{"lat":59.36,"lng":17.52}					Archaeological site in Sweden.	90	["Wikidata"]	Q1916655	http://www.wikidata.org/entity/Q1916655	2026-07-08T10:31:36.248Z
hypogeum-of-al-saflieni	Hypogeum of Ħal Saflieni	{"lat":35.869558333,"lng":14.506883333}					Archaeological site in Malta.	90	["Wikidata"]	Q755514	http://www.wikidata.org/entity/Q755514	2026-07-08T10:31:36.248Z
igel-column	Igel Column	{"lat":49.7092,"lng":6.54944}					Archaeological site in Germany.	90	["Wikidata"]	Q338834	http://www.wikidata.org/entity/Q338834	2026-07-08T10:31:36.248Z
imperial-fora	Imperial fora	{"lat":41.89444444,"lng":12.48555556}					Archaeological site in Italy.	90	["Wikidata"]	Q216568	http://www.wikidata.org/entity/Q216568	2026-07-08T10:31:36.248Z
independence-hall	Independence Hall	{"lat":39.948888888,"lng":-75.15}		1753		Founded 1753 CE	Archaeological site in United States.	90	["Wikidata"]	Q390028	http://www.wikidata.org/entity/Q390028	2026-07-08T10:31:36.248Z
iron-pillar-of-delhi	iron pillar of Delhi	{"lat":28.524655555,"lng":77.185069444}		500		Founded 500 CE	Archaeological site in India.	90	["Wikidata"]	Q543419	http://www.wikidata.org/entity/Q543419	2026-07-08T10:31:36.248Z
isker	Isker	{"lat":58.14942,"lng":68.52048}					Archaeological site in Russia.	90	["Wikidata"]	Q1815305	http://www.wikidata.org/entity/Q1815305	2026-07-08T10:31:36.248Z
istakhr	Istakhr	{"lat":29.981666666,"lng":52.909444444}					Archaeological site in Iran.	90	["Wikidata"]	Q862251	http://www.wikidata.org/entity/Q862251	2026-07-08T10:31:36.248Z
italica	Italica	{"lat":37.44119,"lng":-6.0445003}		-205		Founded 205 BCE	Archaeological site in Spain.	90	["Wikidata"]	Q658893	http://www.wikidata.org/entity/Q658893	2026-07-08T10:31:36.248Z
iwami-ginzan-silver-mine	Iwami Ginzan Silver Mine	{"lat":35.107222,"lng":132.4375}		1527		Founded 1527 CE	Archaeological site in Japan.	90	["Wikidata"]	Q174139	http://www.wikidata.org/entity/Q174139	2026-07-08T10:31:36.248Z
jarmo	Jarmo	{"lat":35.555797222,"lng":44.930291666}		-7090		Founded 7090 BCE	Archaeological site in Iraq.	90	["Wikidata"]	Q1000577	http://www.wikidata.org/entity/Q1000577	2026-07-08T10:31:36.248Z
jebel-barkal	Jebel Barkal	{"lat":18.5368,"lng":31.8276}					Archaeological site in Sudan.	90	["Wikidata"]	Q499019	http://www.wikidata.org/entity/Q499019	2026-07-08T10:31:36.248Z
jebel-irhoud	Jebel Irhoud	{"lat":31.854980555,"lng":-8.872505555}					Archaeological site in Morocco.	90	["Wikidata"]	Q846913	http://www.wikidata.org/entity/Q846913	2026-07-08T10:31:36.248Z
