id	name	region	coordinates	time_period_start	time_period_end	time_period_label	predecessor_culture_ids	successor_culture_ids	description	confidence	sources	wikidata_qid	source_url	retrieved_at
moche-culture	Moche culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q208188	http://www.wikidata.org/entity/Q208188	2026-07-08T10:47:54.206Z
mogollon-culture	Mogollon culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1500702	http://www.wikidata.org/entity/Q1500702	2026-07-08T10:47:54.206Z
monte-alto-culture	Monte Alto culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q212080	http://www.wikidata.org/entity/Q212080	2026-07-08T10:47:54.206Z
mousterian	Mousterian						["acheulean"]	["baradostian-culture","chatelperronian"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q259118	http://www.wikidata.org/entity/Q259118	2026-07-08T10:47:54.206Z
mycenaean-greece-culture	Mycenaean Greece								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q181264	http://www.wikidata.org/entity/Q181264	2026-07-08T10:47:54.206Z
naqada-culture	Naqada culture		{"lat":25.95,"lng":32.733333}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q753391	http://www.wikidata.org/entity/Q753391	2026-07-08T10:47:54.206Z
naqada-iii	Naqada III						["gerzeh-culture"]		Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q721840	http://www.wikidata.org/entity/Q721840	2026-07-08T10:47:54.206Z
narva-culture	Narva culture						["kunda-culture"]		Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q181459	http://www.wikidata.org/entity/Q181459	2026-07-08T10:47:54.206Z
natufian-culture	Natufian culture							["khiamian"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q733489	http://www.wikidata.org/entity/Q733489	2026-07-08T10:47:54.206Z
nazca-culture	Nazca culture		{"lat":-14.71666667,"lng":-75.13333333}				["paracas-culture"]		Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q210570	http://www.wikidata.org/entity/Q210570	2026-07-08T10:47:54.206Z
neman-culture	Neman culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2073418	http://www.wikidata.org/entity/Q2073418	2026-07-08T10:47:54.206Z
neolithic-greece	Neolithic Greece								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q16737804	http://www.wikidata.org/entity/Q16737804	2026-07-08T10:47:54.206Z
nok-culture	Nok culture		{"lat":9.503,"lng":8.016}	-1500		from 1500 BCE			Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q927291	http://www.wikidata.org/entity/Q927291	2026-07-08T10:47:54.206Z
northern-black-polished-ware	Northern Black Polished Ware								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2495995	http://www.wikidata.org/entity/Q2495995	2026-07-08T10:47:54.206Z
nuragic-civilization	Nuragic civilization								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1421436	http://www.wikidata.org/entity/Q1421436	2026-07-08T10:47:54.206Z
ochre-coloured-pottery-culture	Ochre Coloured Pottery culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2663163	http://www.wikidata.org/entity/Q2663163	2026-07-08T10:47:54.206Z
oksywie-culture	Oksywie culture							["wielbark-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1814141	http://www.wikidata.org/entity/Q1814141	2026-07-08T10:47:54.206Z
okunev-culture	Okunev culture							["karasuk-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2632835	http://www.wikidata.org/entity/Q2632835	2026-07-08T10:47:54.206Z
old-europe	Old Europe								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1241067	http://www.wikidata.org/entity/Q1241067	2026-07-08T10:47:54.206Z
oldowan	Oldowan		{"lat":36.200942,"lng":5.654383}					["acheulean"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q746287	http://www.wikidata.org/entity/Q746287	2026-07-08T10:47:54.206Z
omari-culture	Omari culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2023168	http://www.wikidata.org/entity/Q2023168	2026-07-08T10:47:54.206Z
ordos-culture	Ordos culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q127455	http://www.wikidata.org/entity/Q127455	2026-07-08T10:47:54.206Z
ozieri-culture	Ozieri culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1473758	http://www.wikidata.org/entity/Q1473758	2026-07-08T10:47:54.206Z
painted-grey-ware-culture	Painted Grey Ware culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2525293	http://www.wikidata.org/entity/Q2525293	2026-07-08T10:47:54.206Z
paracas-culture	Paracas culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1127723	http://www.wikidata.org/entity/Q1127723	2026-07-08T10:47:54.206Z
pazyryk-culture	Pazyryk culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q917982	http://www.wikidata.org/entity/Q917982	2026-07-08T10:47:54.206Z
peiligang-culture	Peiligang culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1193609	http://www.wikidata.org/entity/Q1193609	2026-07-08T10:47:54.206Z
pengtoushan-culture	Pengtoushan culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1205679	http://www.wikidata.org/entity/Q1205679	2026-07-08T10:47:54.206Z
penkovka-culture	Penkovka culture						["chernyakhov-culture"]	["saltovo-mayaki"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2994546	http://www.wikidata.org/entity/Q2994546	2026-07-08T10:47:54.206Z
perigordian	Périgordian								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q652622	http://www.wikidata.org/entity/Q652622	2026-07-08T10:47:54.206Z
phrygians	Phrygians								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q149386	http://www.wikidata.org/entity/Q149386	2026-07-08T10:47:54.206Z
pitted-ware-culture	Pitted Ware culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q1551765	http://www.wikidata.org/entity/Q1551765	2026-07-08T10:47:54.206Z
polada-culture	Polada culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2347305	http://www.wikidata.org/entity/Q2347305	2026-07-08T10:47:54.206Z
