id	name	native_name	region	coordinates	time_origin	time_end	associated_language_ids	dance_type	associated_music_tradition_ids	costumes	key_movements	cultural_significance	description	wikidata_qid	source_url	retrieved_at	confidence	sources
hunguhungu	Hunguhungu							folk					type of dance	Q5943571	http://www.wikidata.org/entity/Q5943571	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
international-folk-dance	international folk dance							folk					Variety of ethnic dance traditions	Q6054681	http://www.wikidata.org/entity/Q6054681	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
jera	Jera		Ghana	{"lat":7.9465,"lng":-1.0232}				folk					Ghanaian traditional dance	Q94688020	http://www.wikidata.org/entity/Q94688020	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
kaerajaan	kaerajaan							folk					type of dance	Q12366001	http://www.wikidata.org/entity/Q12366001	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
kamsale	Kamsale		India	{"lat":22.8,"lng":83}				folk					Folk art	Q6359708	http://www.wikidata.org/entity/Q6359708	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
kara-jorgo	Kara Jorgo							folk					Traditional Kazakh dance.	Q19656079	http://www.wikidata.org/entity/Q19656079	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
karsilamas	Karsilamas		Turkey	{"lat":39,"lng":36}				folk					type of dance	Q3556333	http://www.wikidata.org/entity/Q3556333	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
kartuli	Kartuli							folk					Georgian folk pair dance	Q4216273	http://www.wikidata.org/entity/Q4216273	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
kazagi	Kazagi							folk					type of dance	Q5691460	http://www.wikidata.org/entity/Q5691460	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
khamba-thoibi-jagoi	Khamba Thoibi Jagoi		Manipur State	{"lat":24.8167,"lng":93.95}				folk					traditional ancient classical dance form originated from Ancient Moirang province of Manipur (Kangleipak) realm	Q107612872	http://www.wikidata.org/entity/Q107612872	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
kummi	Kummi							folk					folk dance from Tamil Nadu and Kerala in India, danced by women in a circle	Q3534322	http://www.wikidata.org/entity/Q3534322	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
la-raspa	La Raspa							folk					type of dance	Q6464763	http://www.wikidata.org/entity/Q6464763	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
los-negritos-dance	Los Negritos dance							folk					type of dance	Q5799207	http://www.wikidata.org/entity/Q5799207	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
maach	Maach							folk					folk theatre	Q13560108	http://www.wikidata.org/entity/Q13560108	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
magunatip	magunatip							folk					Murut dance	Q7447200	http://www.wikidata.org/entity/Q7447200	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
mizmar	Mizmar		Egypt	{"lat":27,"lng":29}				folk					folkloric dance	Q12242512	http://www.wikidata.org/entity/Q12242512	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
monferrina	monferrina							folk					Italian folk dance	Q3320628	http://www.wikidata.org/entity/Q3320628	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
moribayassa	Moribayassa							folk					traditional dance in Guinea	Q3324074	http://www.wikidata.org/entity/Q3324074	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
paraguayan-bottle-dance	Paraguayan bottle dance							folk					Folk dance tradition recorded in Wikidata.	Q96398402	http://www.wikidata.org/entity/Q96398402	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
passepied	Passepied							folk					French court dance	Q902965	http://www.wikidata.org/entity/Q902965	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
qhapaq-negro	Qhapaq negro							folk					type of dance	Q17086598	http://www.wikidata.org/entity/Q17086598	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
rheinlander	Rheinlander							folk					type of dance	Q690523	http://www.wikidata.org/entity/Q690523	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
rigaudon	rigaudon							folk					cheerful Baroque dance movement in duple meter	Q383845	http://www.wikidata.org/entity/Q383845	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
saidi	Saidi							folk					Egyptian folk dance	Q546517	http://www.wikidata.org/entity/Q546517	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
seises	Seises							folk					type of dance	Q6123993	http://www.wikidata.org/entity/Q6123993	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
sevillanas	sevillanas		Spain	{"lat":40.2,"lng":-3.5}				folk					musical genre, folk song and dance	Q976634	http://www.wikidata.org/entity/Q976634	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
siddavesa	Siddavesa							folk					folk dance	Q31830689	http://www.wikidata.org/entity/Q31830689	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
soran-bushi	Sōran Bushi		Japan	{"lat":35,"lng":136}				folk					traditional Japanese dance	Q7667610	http://www.wikidata.org/entity/Q7667610	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
square-dance	square dance							folk					dance for four couples (eight dancers) arranged in a square	Q1156994	http://www.wikidata.org/entity/Q1156994	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
syabru-dance	Syabru dance		Nepal	{"lat":28,"lng":84}				folk					Himalayan traditional folk dance from Nepal	Q114552797	http://www.wikidata.org/entity/Q114552797	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
tahtib	tahtib		Egypt	{"lat":27,"lng":29}				folk					Egyptian martial art and folk dance	Q254093	http://www.wikidata.org/entity/Q254093	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
torch-dance	torch dance							folk					type of dance	Q1391675	http://www.wikidata.org/entity/Q1391675	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
two-rhythm-dance	Two-Rhythm Dance							folk					Zwiefache is a typical Bavarian-Bohemian musical genre that is played, danced and sung	Q244630	http://www.wikidata.org/entity/Q244630	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
volkspele	Volkspele							folk					South African folk dance tradition	Q7940288	http://www.wikidata.org/entity/Q7940288	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
zambra	Zambra		Spain	{"lat":40.2,"lng":-3.5}				folk					style of flamenco dance	Q2572946	http://www.wikidata.org/entity/Q2572946	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
